0000 // dec: 000000	bin: 0000000000000000
0001 // dec: 000001	bin: 0000000000000001
0002 // dec: 000002	bin: 0000000000000010
0003 // dec: 000003	bin: 0000000000000011
0004 // dec: 000004	bin: 0000000000000100
0005 // dec: 000005	bin: 0000000000000101
0006 // dec: 000006	bin: 0000000000000110
0007 // dec: 000007	bin: 0000000000000111
0008 // dec: 000008	bin: 0000000000001000
0009 // dec: 000009	bin: 0000000000001001
000a // dec: 000010	bin: 0000000000001010
000b // dec: 000011	bin: 0000000000001011
000c // dec: 000012	bin: 0000000000001100
000d // dec: 000013	bin: 0000000000001101
000e // dec: 000014	bin: 0000000000001110
000f // dec: 000015	bin: 0000000000001111
0010 // dec: 000016	bin: 0000000000010000
0011 // dec: 000017	bin: 0000000000010001
0012 // dec: 000018	bin: 0000000000010010
0013 // dec: 000019	bin: 0000000000010011
