0000 // dec: 000000	bin: 0000000000000000
0001 // dec: 000001	bin: 0000000000000001
0004 // dec: 000004	bin: 0000000000000100
0009 // dec: 000009	bin: 0000000000001001
0010 // dec: 000016	bin: 0000000000010000
0019 // dec: 000025	bin: 0000000000011001
0024 // dec: 000036	bin: 0000000000100100
0031 // dec: 000049	bin: 0000000000110001
0040 // dec: 000064	bin: 0000000001000000
0051 // dec: 000081	bin: 0000000001010001
0064 // dec: 000100	bin: 0000000001100100
0079 // dec: 000121	bin: 0000000001111001
0090 // dec: 000144	bin: 0000000010010000
00a9 // dec: 000169	bin: 0000000010101001
00c4 // dec: 000196	bin: 0000000011000100
00e1 // dec: 000225	bin: 0000000011100001
0100 // dec: 000256	bin: 0000000100000000
0121 // dec: 000289	bin: 0000000100100001
0144 // dec: 000324	bin: 0000000101000100
0169 // dec: 000361	bin: 0000000101101001
0190 // dec: 000400	bin: 0000000110010000
01b9 // dec: 000441	bin: 0000000110111001
01e4 // dec: 000484	bin: 0000000111100100
0211 // dec: 000529	bin: 0000001000010001
0240 // dec: 000576	bin: 0000001001000000
0271 // dec: 000625	bin: 0000001001110001
02a4 // dec: 000676	bin: 0000001010100100
02d9 // dec: 000729	bin: 0000001011011001
0310 // dec: 000784	bin: 0000001100010000
0349 // dec: 000841	bin: 0000001101001001
0384 // dec: 000900	bin: 0000001110000100
03c1 // dec: 000961	bin: 0000001111000001
0400 // dec: 001024	bin: 0000010000000000
0441 // dec: 001089	bin: 0000010001000001
0484 // dec: 001156	bin: 0000010010000100
04c9 // dec: 001225	bin: 0000010011001001
0510 // dec: 001296	bin: 0000010100010000
0559 // dec: 001369	bin: 0000010101011001
05a4 // dec: 001444	bin: 0000010110100100
05f1 // dec: 001521	bin: 0000010111110001
0640 // dec: 001600	bin: 0000011001000000
0691 // dec: 001681	bin: 0000011010010001
06e4 // dec: 001764	bin: 0000011011100100
0739 // dec: 001849	bin: 0000011100111001
0790 // dec: 001936	bin: 0000011110010000
07e9 // dec: 002025	bin: 0000011111101001
0844 // dec: 002116	bin: 0000100001000100
08a1 // dec: 002209	bin: 0000100010100001
0900 // dec: 002304	bin: 0000100100000000
0961 // dec: 002401	bin: 0000100101100001
09c4 // dec: 002500	bin: 0000100111000100
0a29 // dec: 002601	bin: 0000101000101001
0a90 // dec: 002704	bin: 0000101010010000
0af9 // dec: 002809	bin: 0000101011111001
0b64 // dec: 002916	bin: 0000101101100100
0bd1 // dec: 003025	bin: 0000101111010001
0c40 // dec: 003136	bin: 0000110001000000
0cb1 // dec: 003249	bin: 0000110010110001
0d24 // dec: 003364	bin: 0000110100100100
0d99 // dec: 003481	bin: 0000110110011001
0e10 // dec: 003600	bin: 0000111000010000
0e89 // dec: 003721	bin: 0000111010001001
0f04 // dec: 003844	bin: 0000111100000100
0f81 // dec: 003969	bin: 0000111110000001
1000 // dec: 004096	bin: 0001000000000000
1081 // dec: 004225	bin: 0001000010000001
1104 // dec: 004356	bin: 0001000100000100
1189 // dec: 004489	bin: 0001000110001001
1210 // dec: 004624	bin: 0001001000010000
1299 // dec: 004761	bin: 0001001010011001
1324 // dec: 004900	bin: 0001001100100100
13b1 // dec: 005041	bin: 0001001110110001
1440 // dec: 005184	bin: 0001010001000000
14d1 // dec: 005329	bin: 0001010011010001
1564 // dec: 005476	bin: 0001010101100100
15f9 // dec: 005625	bin: 0001010111111001
1690 // dec: 005776	bin: 0001011010010000
1729 // dec: 005929	bin: 0001011100101001
17c4 // dec: 006084	bin: 0001011111000100
1861 // dec: 006241	bin: 0001100001100001
1900 // dec: 006400	bin: 0001100100000000
19a1 // dec: 006561	bin: 0001100110100001
1a44 // dec: 006724	bin: 0001101001000100
1ae9 // dec: 006889	bin: 0001101011101001
1b90 // dec: 007056	bin: 0001101110010000
1c39 // dec: 007225	bin: 0001110000111001
1ce4 // dec: 007396	bin: 0001110011100100
1d91 // dec: 007569	bin: 0001110110010001
1e40 // dec: 007744	bin: 0001111001000000
1ef1 // dec: 007921	bin: 0001111011110001
1fa4 // dec: 008100	bin: 0001111110100100
2059 // dec: 008281	bin: 0010000001011001
2110 // dec: 008464	bin: 0010000100010000
21c9 // dec: 008649	bin: 0010000111001001
2284 // dec: 008836	bin: 0010001010000100
2341 // dec: 009025	bin: 0010001101000001
2400 // dec: 009216	bin: 0010010000000000
24c1 // dec: 009409	bin: 0010010011000001
2584 // dec: 009604	bin: 0010010110000100
2649 // dec: 009801	bin: 0010011001001001
2710 // dec: 010000	bin: 0010011100010000
27d9 // dec: 010201	bin: 0010011111011001
28a4 // dec: 010404	bin: 0010100010100100
2971 // dec: 010609	bin: 0010100101110001
2a40 // dec: 010816	bin: 0010101001000000
2b11 // dec: 011025	bin: 0010101100010001
2be4 // dec: 011236	bin: 0010101111100100
2cb9 // dec: 011449	bin: 0010110010111001
2d90 // dec: 011664	bin: 0010110110010000
2e69 // dec: 011881	bin: 0010111001101001
2f44 // dec: 012100	bin: 0010111101000100
3021 // dec: 012321	bin: 0011000000100001
3100 // dec: 012544	bin: 0011000100000000
31e1 // dec: 012769	bin: 0011000111100001
32c4 // dec: 012996	bin: 0011001011000100
33a9 // dec: 013225	bin: 0011001110101001
3490 // dec: 013456	bin: 0011010010010000
3579 // dec: 013689	bin: 0011010101111001
3664 // dec: 013924	bin: 0011011001100100
3751 // dec: 014161	bin: 0011011101010001
3840 // dec: 014400	bin: 0011100001000000
3931 // dec: 014641	bin: 0011100100110001
3a24 // dec: 014884	bin: 0011101000100100
3b19 // dec: 015129	bin: 0011101100011001
3c10 // dec: 015376	bin: 0011110000010000
3d09 // dec: 015625	bin: 0011110100001001
3e04 // dec: 015876	bin: 0011111000000100
3f01 // dec: 016129	bin: 0011111100000001
4000 // dec: 016384	bin: 0100000000000000
4101 // dec: 016641	bin: 0100000100000001
4204 // dec: 016900	bin: 0100001000000100
4309 // dec: 017161	bin: 0100001100001001
4410 // dec: 017424	bin: 0100010000010000
4519 // dec: 017689	bin: 0100010100011001
4624 // dec: 017956	bin: 0100011000100100
4731 // dec: 018225	bin: 0100011100110001
4840 // dec: 018496	bin: 0100100001000000
4951 // dec: 018769	bin: 0100100101010001
4a64 // dec: 019044	bin: 0100101001100100
4b79 // dec: 019321	bin: 0100101101111001
4c90 // dec: 019600	bin: 0100110010010000
4da9 // dec: 019881	bin: 0100110110101001
4ec4 // dec: 020164	bin: 0100111011000100
4fe1 // dec: 020449	bin: 0100111111100001
5100 // dec: 020736	bin: 0101000100000000
5221 // dec: 021025	bin: 0101001000100001
5344 // dec: 021316	bin: 0101001101000100
5469 // dec: 021609	bin: 0101010001101001
5590 // dec: 021904	bin: 0101010110010000
56b9 // dec: 022201	bin: 0101011010111001
57e4 // dec: 022500	bin: 0101011111100100
5911 // dec: 022801	bin: 0101100100010001
5a40 // dec: 023104	bin: 0101101001000000
5b71 // dec: 023409	bin: 0101101101110001
5ca4 // dec: 023716	bin: 0101110010100100
5dd9 // dec: 024025	bin: 0101110111011001
5f10 // dec: 024336	bin: 0101111100010000
6049 // dec: 024649	bin: 0110000001001001
6184 // dec: 024964	bin: 0110000110000100
62c1 // dec: 025281	bin: 0110001011000001
6400 // dec: 025600	bin: 0110010000000000
6541 // dec: 025921	bin: 0110010101000001
6684 // dec: 026244	bin: 0110011010000100
67c9 // dec: 026569	bin: 0110011111001001
6910 // dec: 026896	bin: 0110100100010000
6a59 // dec: 027225	bin: 0110101001011001
6ba4 // dec: 027556	bin: 0110101110100100
6cf1 // dec: 027889	bin: 0110110011110001
6e40 // dec: 028224	bin: 0110111001000000
