depth,wet,dry
10,800.00,674.67
100,888.33,614.00
105,584.00,835.33
110,619.67,776.33
115,666.00,811.67
120,695.00,874.67
125,846.00,702.00
130,920,67,739.67
135,790.67,896.33
140,810.33,730.33
145,674.00,912.33
15,708.00,711.33
150,862.33,749.00
155,709.67,828.00
160,769.00,812.67
165,795.67,663.00
170,897.67,679.33
175,881.00,740.67
180,776.50,819.67
185,853.33,688.00
190,844.33,761.67
195,800.00,919.00
20,735.67,867.67
200,933.33,845.50
215,805.67,760.67
220,789.50,966.00
225,1010.33,904.50
230,940.50,936.33
235,882.00,915.67
240,783.50,956.33
245,936.00,843.50
25,754.33,940.67
250,803.67,813.50
255,658.00,697.33
260,702.50,795.67
265,623.50,1045.33
270,739.00,1029.67
275,907.50,977.00
280,846.00,1054.33
285,829.00,1001.33
290,975.50,1042.00
295,998.00,1200.67
30,723.33,941.33
300,1172.67,1037.50
305,1019.67,984.00
310,990.33,972.50
315,1173.33,834.00
320,675.00,1165.67
325,1142.00,686.00
330,1030.67,963.00
335,1089.67,961.50
340,1154.33,932.00
345,1238.50,1054.00
35,664.33,924.33
350,1038.00,1208.67
355,1238.00,1134.67
360,1088.00,927.00
365,1004.00,850.00
370,1104.00,1066.00
375,962.50,970.33
380,1054.50,1025.50
385,1143.50,1205.50
390,1168.00,1044.00
40,727.67,873.00
400,1162.00,1104.00
45,874.67,658.67
5 640.67,830.00
50,658.00,843.33
55,885.67,705.67
60,700.00,881.67
65,822.00,720.67
70,886.33,701.33
75,842.50,716.67
80,874.67,649.67
85,667.33,889.33
90,612.67,870.67
95,656.67,916.00
